county,combined_fips,le14_raw
"Autauga County, Alabama",01001,"75.67 (75.15, 76.18)"
"Baldwin County, Alabama",01003,"78.08 (77.72, 78.43)"
"Barbour County, Alabama",01005,"75.42 (74.78, 76.07)"
"Bibb County, Alabama",01007,"73.97 (73.28, 74.68)"
"Blount County, Alabama",01009,"76.16 (75.66, 76.69)"
"Bullock County, Alabama",01011,"73.86 (72.92, 74.69)"
"Butler County, Alabama",01013,"73.39 (72.68, 74.13)"
"Calhoun County, Alabama",01015,"74.02 (73.58, 74.43)"
"Chambers County, Alabama",01017,"74.06 (73.48, 74.61)"
"Cherokee County, Alabama",01019,"75.08 (74.45, 75.72)"
"Chilton County, Alabama",01021,"74.53 (74.02, 75.08)"
"Choctaw County, Alabama",01023,"75.29 (74.52, 76.03)"
"Clarke County, Alabama",01025,"75.46 (74.78, 76.08)"
"Clay County, Alabama",01027,"75.06 (74.32, 75.79)"
"Cleburne County, Alabama",01029,"74.30 (73.62, 75.04)"
"Coffee County, Alabama",01031,"76.48 (75.94, 76.98)"
"Colbert County, Alabama",01033,"75.07 (74.57, 75.58)"
"Conecuh County, Alabama",01035,"74.05 (73.25, 74.88)"
"Coosa County, Alabama",01037,"75.19 (74.36, 75.99)"
"Covington County, Alabama",01039,"75.15 (74.59, 75.71)"
"Crenshaw County, Alabama",01041,"74.07 (73.33, 74.82)"
"Cullman County, Alabama",01043,"75.31 (74.86, 75.78)"
"Dale County, Alabama",01045,"76.26 (75.79, 76.79)"
"Dallas County, Alabama",01047,"72.39 (71.83, 72.95)"
"DeKalb County, Alabama",01049,"75.25 (74.77, 75.75)"
"Elmore County, Alabama",01051,"75.93 (75.45, 76.41)"
"Escambia County, Alabama",01053,"74.15 (73.59, 74.75)"
"Etowah County, Alabama",01055,"73.85 (73.44, 74.29)"
"Fayette County, Alabama",01057,"73.98 (73.28, 74.71)"
"Franklin County, Alabama",01059,"73.31 (72.65, 73.88)"
"Geneva County, Alabama",01061,"75.54 (74.94, 76.15)"
