"term","estimate","std.error","statistic","p.value"
"(Intercept)",81.9915202247741,2.35533289966206,34.8110113167179,2.75711993635918e-214
"prison14",-0.00910633827107159,0.00158050182292005,-5.76167527238104,9.42494540007138e-09
"rel_lds",0.00174191265047314,0.000478605912982525,3.63955522324844,0.000279031184805516
"ed_highschool",0.0096935406141152,0.00972524296940688,0.996740199150663,0.318993777681504
"ed_some_college",-0.0271192213996148,0.0104291861762127,-2.60032000018078,0.00937234204458911
"ed_associates",0.02516416042626,0.0138604100057885,1.81554228307465,0.0695686666005941
"ed_college",0.0586242585289969,0.0141515757872085,4.14259580773944,3.55600838749957e-05
"ed_grad",-0.00367449837182208,0.016498534818995,-0.222716648001468,0.823775497951019
"race_black",-0.00841576060757443,0.00479622490845,-1.75466346308063,0.0794478704418196
"race_hispanic",0.0146295455384905,0.00504685125127366,2.89874712174219,0.00378147443250626
"race_aapi",-0.0172612042225965,0.0132900886441134,-1.29880279092359,0.194139695163281
"race_mixed",-7.76044226943883e-05,0.0145793055477437,-0.00532291626924563,0.995753401463306
"race_native_american",-0.00796111707449764,0.00681648460491085,-1.16792122859958,0.242957625155677
"race_other",0.00322135868550591,0.0084025116359758,0.383380449211577,0.701472553382733
"race_diversity",-0.669874108547372,0.277382305972899,-2.41498500128851,0.0158121426647943
"born_instate",-0.0424985764444257,0.0115598313651851,-3.67640107384432,0.000241875745915187
"born_outstate",-0.0378971949583721,0.0124059731958561,-3.05475389637556,0.00227787367951872
"born_outus",0.0334774192844287,0.0339085247733822,0.987286221036313,0.323604503497646
"pop_growth",2.81197710655594,0.685130072317344,4.10429671703779,4.194529292235e-05
"log(pop_density15)",0.00413863375245903,0.0285371737683141,0.145026055700523,0.884702800380445
"poverty",-0.0222806824250965,0.00917155174372752,-2.42932527097548,0.0152018286112482
"unemp",-0.00766661177571424,0.00897600568983034,-0.854122873874778,0.39312441507983
"gini12",-0.951233141909265,0.945194157127462,-1.00638914738973,0.314332554763888
"uninsured",0.0174493464112094,0.00892676380849925,1.95472253837339,0.0507348469513303
"uninsur_growth",0.329571804837417,0.183846456476894,1.79264703357956,0.0731586145656795
"disability",-0.0852607678251957,0.0280562601418739,-3.03892134568371,0.00240055749712782
"obese11",-0.0376781004035611,0.0128731164270796,-2.92688259420246,0.00345682171922686
"exer_suf11",0.0450566920703117,0.0114532201396093,3.93397590556125,8.5987214902356e-05
"exer_insuf11",0.0622860309518769,0.0152718171375252,4.07849507304736,4.68452150531701e-05
"alch_heavy",0.0310593801056391,0.0182700969096188,1.70001178752846,0.0892617140518323
"alch_light",0.0345768162417232,0.00715648323700107,4.83153737620053,1.44259921142563e-06
"smoke_daily",-0.0968797310093722,0.0217056506668587,-4.46334148173191,8.45204842123539e-06
"smoke_nondaily",-0.0710429282388619,0.0334278667612957,-2.12526060206506,0.0336694625296367
"mort_injury",-0.0208780043818058,0.00207756902713186,-10.0492470330232,2.72904635699269e-23
"overdose1410.1-12",-1.13465418211457,1.1330880636254,-1.00138216837635,0.316745708159071
"overdose1412.1-14",-1.19280154006874,1.13135185782943,-1.05431527054475,0.291847540079631
"overdose1414.1-16",-1.3321119221187,1.13264641356364,-1.17610571681191,0.239672372176953
"overdose1416.1-18",-1.41052069547989,1.13293077624365,-1.24501931190943,0.213249424516677
"overdose1418.1-20",-1.44697874601896,1.13498483993257,-1.27488817040493,0.202475506064636
"overdose14>20",-1.82085760772184,1.13440681701935,-1.60511871085731,0.10860273590761
"overdose142.1-4",-0.85959847841843,1.14642589347452,-0.749807277828673,0.453446225475979
"overdose144.1-6",-1.04254311582363,1.1412801899652,-0.913485684751455,0.361081348353206
"overdose146.1-8",-0.937487760069191,1.13494183540273,-0.826022735990279,0.408875476034098
"overdose148.1-10",-0.853141642760394,1.13347809183023,-0.752675899878065,0.45172047024107
"vcr14",-0.0447736504546167,0.0131758670966131,-3.39815589564696,0.000689782436687665
"pcr14",-0.00563357086889181,0.00243058278954371,-2.31778604420604,0.0205468795868488
"female",-0.0346476549176876,0.0181113169964311,-1.91303895373898,0.0558650979983065
"age_child",-0.0272002509905155,0.0204476408898099,-1.33023907927055,0.183569252303575
"age_18t24",0.0335929800419707,0.0105413443247104,3.18678329890279,0.00145762369106408
"age_retiree",0.0697443456268756,0.0139306172627862,5.00655098846111,5.95483423695376e-07
"wkid_cmarried15",0.0167149098192142,0.0109236623190166,1.53015621785706,0.126113347437946
"wkid_sfather15",-0.0402255056178843,0.0255452128135256,-1.57467882188031,0.115465895900018
"wkid_smother15",-0.0306847338565813,0.019209857804453,-1.59734310211648,0.110324383259275
"wokid_married15",0.0511676083734582,0.00825847494304118,6.19576964589249,6.83321447840764e-10
"as.factor(state)AR",0.626981392345962,0.131392758010561,4.77181088089777,1.93837861134623e-06
"as.factor(state)AZ",1.80375565185787,0.368492244897396,4.89496231422758,1.05032026535084e-06
"as.factor(state)CA",0.974535336730734,0.219603437962468,4.43770528263446,9.51419022461528e-06
"as.factor(state)CO",1.45822665794701,0.211753368905665,6.88643899968664,7.32506209914634e-12
"as.factor(state)FL",0.480785743064237,0.215713326915382,2.22881798699825,0.0259207332555939
"as.factor(state)GA",0.361134119968409,0.128862827279133,2.8024693202342,0.00511309894354724
"as.factor(state)IA",1.16127189251955,0.16821643713568,6.90343888084426,6.5149668335421e-12
"as.factor(state)ID",1.24879340895997,0.244418197570709,5.10924890769928,3.49609890385063e-07
"as.factor(state)IN",1.01654396884528,0.151959569740804,6.68956861735783,2.79140353835303e-11
"as.factor(state)KS",0.892820919319583,0.152472225514624,5.85562987820331,5.42094528805081e-09
"as.factor(state)KY",1.21352816312002,0.144187784323787,8.41630356421135,6.67251093102899e-17
"as.factor(state)LA",0.725673209993824,0.174476559163516,4.15914443448955,3.3097038683154e-05
"as.factor(state)MA",0.792065422146215,0.23240892725045,3.40806797534359,0.000665326020461531
"as.factor(state)MN",1.70246361513744,0.173249925478285,9.8266340400292,2.32813440137405e-22
"as.factor(state)MO",1.3700081356136,0.147652042098428,9.27862639854529,3.7888108491342e-20
"as.factor(state)MS",0.06861438017898,0.171648369288526,0.399738025262827,0.689385996390306
"as.factor(state)MT",0.777888443672429,0.224098296502069,3.47119302473255,0.000527551212167287
"as.factor(state)NC",0.854226409795274,0.124368976318027,6.86848469035325,8.28786012294172e-12
"as.factor(state)ND",0.998678360768852,0.238133432886485,4.19377635749664,2.84571579513309e-05
"as.factor(state)NE",0.955867515900673,0.178047881274465,5.36859809315665,8.71844948143149e-08
"as.factor(state)NM",1.6733242731195,0.297242784574511,5.62948660138137,2.0238562216521e-08
"as.factor(state)NV",0.0300796795900402,0.378161657436011,0.0795418546501638,0.936608449129886
"as.factor(state)NY",0.698488765615525,0.186930048729425,3.73663180619273,0.00019096949090469
"as.factor(state)OH",1.09028784980558,0.154021096596016,7.07882149849451,1.91448916436471e-12
"as.factor(state)OK",0.565650909848967,0.195817507919798,2.88866361265634,0.00390441684326186
"as.factor(state)OR",0.737688504027903,0.199986500601594,3.68869149572001,0.000230552257552845
"as.factor(state)PA",0.992607348716328,0.173513840578065,5.72062346962892,1.19704325411023e-08
"as.factor(state)SC",0.0473649546769931,0.150335064899223,0.315062588417042,0.752742249173705
"as.factor(state)TN",0.632398901917946,0.131721470696044,4.80103128651857,1.67823998572471e-06
"as.factor(state)TX",-0.0229832424036912,0.153365942338461,-0.14985884123458,0.880888910836125
"as.factor(state)UT",1.14423918897814,0.393112466256729,2.91071712854529,0.00364010680250483
"as.factor(state)WA",1.22280704370867,0.191844946584358,6.37393408312153,2.21237487917602e-10
"as.factor(state)WI",1.0659737817137,0.180483270167901,5.9062193449955,4.01105694788746e-09
"as.factor(state)WV",1.36947773482872,0.182569476308388,7.50113196641623,8.93349126364679e-14
"as.factor(state)WY",0.800944050658091,0.228551804264421,3.50443109926818,0.00046618741684203
